GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000002587.5	HS3ST1	3.54282684915408e-05	1
ENSG00000007038.6	PRSS21	1.62369554675188e-05	1
ENSG00000071127.12	WDR1	5.63248160885002e-106	12
ENSG00000109667.7	SLC2A9	2.5654233634051e-108	15
ENSG00000118762.3	PKD2	1.38007277443349e-05	1
ENSG00000122970.11	IFT81	3.34431367970348e-05	1
ENSG00000178163.3	ZNF518B	3.61052731642473e-189	15
ENSG00000197888.2	UGT2B17	3.63563582676535e-05	1
ENSG00000249334.1	RP11-61G19.1	1.70234935435535e-10	1
ENSG00000249767.1	ENPP7P10	3.37543265092089e-24	1
ENSG00000250413.1	RP11-448G15.1	3.76561334326921e-131	1
ENSG00000250942.1	ENPP7P11	4.68055683968505e-07	2
ENSG00000261490.1	RP11-448G15.3	9.67951133779663e-61	16
